"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2023","8,926.27","8,781.03","8,938.58","8,781.03","","1.65%"
"09/01/2023","8,781.03","8,612.43","9,053.18","8,041.89","6.46B","2.70%"
"08/01/2023","8,550.10","6,647.39","8,636.49","6,540.84","8.21B","29.01%"
"07/01/2023","6,627.58","5,034.12","6,658.74","5,034.12","6.82B","32.57%"
"06/01/2023","4,999.15","4,565.66","5,038.18","4,564.57","3.27B","10.16%"
"05/01/2023","4,537.96","4,597.10","5,150.05","4,253.77","2.64B","-1.25%"
"04/01/2023","4,595.23","4,712.82","4,878.29","4,531.81","2.28B","-2.22%"
"03/01/2023","4,699.62","4,527.15","5,073.51","4,458.22","4.72B","3.50%"
"02/01/2023","4,540.64","4,575.82","4,674.13","3,771.53","1.63B","-0.75%"
"01/01/2023","4,574.82","5,550.58","5,654.73","4,405.84","2.63B","-17.19%"
"12/01/2022","5,524.55","5,145.47","5,718.40","4,971.39","4.18B","8.30%"
"11/01/2022","5,101.21","4,254.13","5,166.24","4,155.04","4.67B","20.17%"
"10/01/2022","4,245.03","3,329.66","4,252.89","3,329.66","4.11B","28.07%"
"09/01/2022","3,314.59","3,292.52","3,645.59","3,221.84","4.97B","0.78%"
"08/01/2022","3,289.03","3,001.70","3,289.03","2,971.55","4.00B","10.35%"
"07/01/2022","2,980.55","2,616.84","2,986.65","2,585.45","2.12B","14.72%"
"06/01/2022","2,598.07","2,545.72","2,751.30","2,527.47","3.27B","2.53%"
"05/01/2022","2,533.95","2,482.43","2,585.54","2,390.56","2.34B","3.06%"
"04/01/2022","2,458.76","2,311.42","2,536.87","2,298.67","2.32B","6.71%"
"03/01/2022","2,304.25","2,116.23","2,329.41","2,089.08","2.38B","9.50%"
"02/01/2022","2,104.29","2,427.92","2,433.29","2,058.09","1.42B","-13.32%"
"01/01/2022","2,427.72","2,203.85","2,480.18","2,194.24","2.49B","11.16%"
"12/01/2021","2,183.89","2,161.01","2,600.88","2,048.38","3.15B","1.70%"
"11/01/2021","2,147.29","1,947.99","2,173.17","1,924.37","2.89B","10.46%"
"10/01/2021","1,943.88","1,905.87","1,948.43","1,829.22","1.66B","1.67%"
"09/01/2021","1,911.97","1,962.43","2,027.17","1,850.55","1.94B","-2.40%"
"08/01/2021","1,959.03","1,927.04","1,967.02","1,904.37","1.42B","1.97%"
"07/01/2021","1,921.25","1,871.32","1,921.25","1,816.25","624.90M","2.88%"
"06/01/2021","1,867.39","1,947.79","1,993.45","1,850.69","804.10M","-3.97%"
"05/01/2021","1,944.50","2,032.45","2,095.90","1,917.69","701.30M","-3.89%"
"04/01/2021","2,023.13","1,982.55","2,086.88","1,817.51","1.68B","2.76%"
"03/01/2021","1,968.79","2,027.24","2,202.05","1,777.03","2.38B","-1.80%"
"02/01/2021","2,004.86","2,140.45","2,261.18","1,935.90","2.15B","-5.72%"
"01/01/2021","2,126.55","2,049.95","2,283.72","2,029.21","2.51B","4.99%"
"12/01/2020","2,025.54","1,977.24","2,037.54","1,952.87","2.11B","3.65%"
"11/01/2020","1,954.19","1,764.28","2,029.79","1,741.92","2.45B","11.75%"
"10/01/2020","1,748.69","1,823.23","2,115.11","1,748.31","3.65B","-2.68%"
"09/01/2020","1,796.83","1,580.71","1,812.75","1,571.47","4.82B","13.75%"
"08/01/2020","1,579.63","1,621.53","1,626.01","1,345.27","2.47B","-1.34%"
"07/01/2020","1,601.09","1,553.94","1,685.80","1,541.99","3.04B","3.62%"
"06/01/2020","1,545.16","1,454.10","1,553.37","1,427.45","2.74B","7.52%"
"05/01/2020","1,437.07","1,413.72","1,511.44","1,343.28","3.23B","-0.37%"
"04/01/2020","1,442.41","1,189.79","1,499.06","1,182.86","3.63B","20.68%"
"03/01/2020","1,195.26","1,423.33","1,483.10","1,036.89","2.03B","-14.67%"
"02/01/2020","1,400.75","1,555.75","1,610.62","1,327.07","2.10B","-9.87%"
"01/01/2020","1,554.08","1,408.31","1,619.61","1,349.52","3.61B","11.08%"
"12/01/2019","1,399.07","1,296.22","1,441.80","1,285.74","2.25B","8.46%"
"11/01/2019","1,289.95","1,119.13","1,308.06","1,117.63","1.57B","15.39%"
"10/01/2019","1,117.92","1,215.35","1,259.74","1,043.48","1.60B","-7.71%"
"09/01/2019","1,211.25","1,241.13","1,266.54","1,205.91","1.46B","-2.44%"
"08/01/2019","1,241.50","1,157.73","1,258.73","1,135.47","724.80M","7.02%"
"07/01/2019","1,160.04","1,115.90","1,176.53","1,078.77","1.02B","5.26%"
"06/01/2019","1,102.02","1,049.23","1,119.45","1,040.69","636.20M","4.94%"
"05/01/2019","1,050.09","1,095.19","1,101.33","969.17","1.08B","-3.99%"
"04/01/2019","1,093.75","1,012.06","1,112.63","1,005.34","969.10M","8.38%"
"03/01/2019","1,009.17","1,137.58","1,200.34","992.15","1.11B","-10.86%"
"02/01/2019","1,132.09","1,144.35","1,186.28","1,093.25","1.02B","-1.31%"
"01/01/2019","1,147.15","1,021.61","1,174.57","970.39","1.46B","11.65%"
"12/01/2018","1,027.50","1,067.87","1,106.97","1,005.99","1.03B","-2.93%"
"11/01/2018","1,058.55","955.37","1,063.36","955.37","1.60B","11.07%"
"10/01/2018","953.05","1,101.48","1,105.77","943.88","628.90M","-13.36%"
"09/01/2018","1,099.98","1,021.31","1,122.15","1,019.45","1.07B","8.27%"
"08/01/2018","1,015.96","1,077.23","1,125.20","980.55","658.50M","-5.84%"
"07/01/2018","1,078.99","1,180.27","1,185.62","1,020.63","931.30M","-8.75%"
"06/01/2018","1,182.41","1,205.66","1,225.12","1,139.09","549.10M","-2.75%"
"05/01/2018","1,215.82","1,326.44","1,330.94","1,206.12","561.40M","-8.80%"
"04/01/2018","1,333.08","1,375.45","1,399.00","1,291.89","805.70M","-2.65%"
"03/01/2018","1,369.32","1,366.31","1,423.81","1,343.83","883.00M","0.45%"
"02/01/2018","1,363.19","1,427.23","1,433.68","1,326.60","661.60M","-4.33%"
"01/01/2018","1,424.90","1,270.34","1,465.11","1,269.71","1.08B","12.67%"
"12/01/2017","1,264.68","1,212.12","1,274.82","1,187.27","772.20M","4.43%"
"11/01/2017","1,210.98","1,263.15","1,310.68","1,190.61","869.60M","-4.05%"
"10/01/2017","1,262.10","1,208.16","1,265.20","1,169.34","811.60M","4.50%"
"09/01/2017","1,207.76","1,272.84","1,284.33","1,190.85","1.12B","-4.57%"
"08/01/2017","1,265.65","1,288.33","1,314.78","1,238.69","827.20M","-1.31%"
"07/01/2017","1,282.50","1,300.81","1,310.28","1,259.12","860.30M","-0.87%"
"06/01/2017","1,293.74","1,216.28","1,318.75","1,201.27","728.50M","6.70%"
"05/01/2017","1,212.46","1,178.71","1,235.30","1,152.76","537.90M","3.03%"
"04/01/2017","1,176.78","1,136.88","1,183.85","1,121.18","351.30M","2.47%"
"03/01/2017","1,148.43","1,143.46","1,175.24","1,128.68","448.30M","0.73%"
"02/01/2017","1,140.15","1,198.99","1,200.80","1,137.41","438.60M","-4.58%"
"01/01/2017","1,194.86","1,027.14","1,197.30","1,021.71","710.70M","17.07%"
"12/01/2016","1,020.61","1,026.22","1,071.52","991.32","667.90M","-0.87%"
"11/01/2016","1,029.61","1,102.72","1,106.40","979.18","403.30M","-6.46%"
"10/01/2016","1,100.75","1,129.34","1,172.75","1,099.80","245.50M","-2.36%"
"09/01/2016","1,127.36","1,123.21","1,194.46","1,118.06","259.60M","0.39%"
"08/01/2016","1,123.03","1,153.45","1,200.68","1,111.34","283.90M","-1.70%"
"07/01/2016","1,142.40","1,135.65","1,261.03","1,058.87","167.00M","0.74%"
"06/01/2016","1,133.95","1,141.63","1,165.06","1,060.36","198.80M","-0.39%"
"05/01/2016","1,138.38","1,269.45","1,272.83","1,124.38","137.60M","-10.27%"
"04/01/2016","1,268.73","1,227.63","1,270.08","1,202.25","222.30M","2.97%"
"03/01/2016","1,232.09","1,024.78","1,232.09","1,022.16","321.50M","20.38%"
"02/01/2016","1,023.50","1,070.14","1,070.14","968.18","208.40M","-3.87%"
"01/01/2016","1,064.75","1,099.33","1,117.36","983.13","144.00M","-3.15%"
"12/01/2015","1,099.33","1,149.92","1,185.95","1,083.99","157.00M","-4.40%"
"11/01/2015","1,149.92","1,283.53","1,304.89","1,128.52","210.80M","-5.91%"
"10/01/2015","1,222.20","1,170.30","1,277.76","1,165.41","142.60M","4.87%"
"09/01/2015","1,165.41","1,161.29","1,203.40","1,085.98","135.70M","-0.26%"
"08/01/2015","1,168.41","1,171.20","1,172.09","1,066.31","184.80M","0.21%"
"07/01/2015","1,165.91","1,298.00","1,328.23","1,120.29","154.20M","-10.26%"
"06/01/2015","1,299.14","1,315.09","1,316.36","1,188.60","161.10M","-1.10%"
"05/01/2015","1,313.53","1,292.17","1,335.65","1,264.64","176.60M","1.90%"
"04/01/2015","1,289.05","1,230.13","1,330.69","1,215.02","188.60M","4.62%"
"03/01/2015","1,232.09","1,243.06","1,246.02","1,133.91","154.50M","-0.76%"
"02/01/2015","1,241.52","1,268.95","1,270.77","1,176.35","131.80M","-1.97%"
"01/01/2015","1,266.50","1,286.38","1,287.49","1,195.97","168.60M","-1.55%"
"12/01/2014","1,286.39","1,306.62","1,321.37","1,175.84","256.20M","-1.62%"
"11/01/2014","1,307.54","1,325.12","1,351.02","1,255.48","279.80M","-1.15%"
"10/01/2014","1,322.79","1,295.22","1,335.57","1,251.56","201.80M","2.14%"
"09/01/2014","1,295.11","1,378.20","1,401.19","1,266.57","227.10M","-5.89%"
"08/01/2014","1,376.11","1,336.85","1,389.56","1,293.00","257.90M","3.01%"
"07/01/2014","1,335.91","1,336.09","1,410.09","1,308.56","165.10M","-0.26%"
"06/01/2014","1,339.39","1,371.07","1,391.33","1,305.63","209.20M","-2.04%"
"05/01/2014","1,367.25","1,281.58","1,395.93","1,264.32","212.70M","7.26%"
"04/01/2014","1,274.77","1,234.62","1,332.82","1,223.09","242.00M","3.22%"
