"Date","Price","Open","High","Low","Change %"
"10/22/2023","410.37","421.84","421.84","403.83","-2.77%"
"10/15/2023","422.07","403.81","422.07","403.54","2.95%"
"10/08/2023","409.96","399.85","409.96","392.45","2.27%"
"10/01/2023","400.88","392.74","412.07","392.12","2.18%"
"09/24/2023","392.33","385.11","392.53","385.01","4.73%"
"09/17/2023","374.62","387.75","393.71","374.62","-3.40%"
"09/10/2023","387.80","372.54","387.80","372.54","4.10%"
"09/03/2023","372.54","371.57","378.57","370.77","0.22%"
"08/27/2023","371.73","380.58","380.58","365.48","-2.38%"
"08/20/2023","380.78","423.36","423.36","379.66","-9.98%"
"08/13/2023","423.01","394.65","423.01","394.65","7.07%"
"08/06/2023","395.06","385.96","404.37","385.96","2.66%"
"07/30/2023","384.82","385.00","403.64","373.02","0.09%"
"07/23/2023","384.48","435.20","435.20","384.48","-11.50%"
"07/16/2023","434.45","437.94","449.73","434.45","-0.90%"
"07/09/2023","438.41","491.31","491.31","432.82","-10.82%"
"07/02/2023","491.58","480.86","506.26","480.86","2.00%"
"06/25/2023","481.96","506.95","506.95","481.96","-5.14%"
"06/18/2023","508.05","472.60","512.83","472.60","7.15%"
"06/11/2023","474.13","502.32","502.32","471.56","-5.59%"
"06/04/2023","502.22","546.31","546.31","479.25","-8.89%"
"05/28/2023","551.20","664.75","664.75","551.20","-17.01%"
"05/21/2023","664.18","665.96","702.56","664.18","-0.47%"
"05/14/2023","667.34","552.14","667.34","543.45","21.13%"
"05/07/2023","550.94","552.37","552.37","550.90","-0.12%"
"04/30/2023","551.61","531.18","553.28","531.18","3.60%"
"04/23/2023","532.44","549.89","561.71","532.44","-3.25%"
"04/16/2023","550.33","519.06","550.33","519.06","5.40%"
"04/09/2023","522.14","546.44","547.07","522.14","-4.59%"
"04/02/2023","547.26","514.34","547.34","514.34","5.45%"
"03/26/2023","518.99","536.78","536.78","536.78","-1.97%"
"03/19/2023","529.43","539.59","539.59","539.59","-0.12%"
"03/12/2023","530.08","519.23","557.51","519.23","2.35%"
"03/05/2023","517.91","551.87","551.87","506.66","-6.24%"
"02/26/2023","552.37","568.61","568.61","544.44","-3.28%"
"02/19/2023","571.13","567.56","578.23","562.29","0.88%"
"02/12/2023","566.13","548.30","566.13","548.30","3.20%"
"02/05/2023","548.55","520.18","548.55","520.18","5.70%"
"01/29/2023","518.97","549.28","554.73","502.33","-5.59%"
"01/22/2023","549.69","550.96","550.96","540.19","-0.75%"
"01/15/2023","553.86","546.99","558.54","544.78","0.87%"
"01/08/2023","549.10","518.87","549.10","510.62","5.57%"
"01/01/2023","520.12","501.94","524.85","496.83","2.63%"
"12/25/2022","506.81","508.89","512.23","506.81","-1.04%"
"12/18/2022","512.12","528.59","534.70","509.26","-3.44%"
"12/11/2022","530.38","518.99","530.38","485.56","2.29%"
"12/04/2022","518.51","505.83","529.34","505.83","2.36%"
"11/27/2022","506.56","526.21","532.31","506.56","-4.11%"
"11/20/2022","528.29","576.70","586.52","528.29","-9.04%"
"11/13/2022","580.82","548.00","598.94","548.00","5.73%"
"11/06/2022","549.32","620.67","620.95","549.32","-11.65%"
"10/30/2022","621.75","651.06","657.23","621.75","-4.97%"
"10/23/2022","654.25","728.82","728.82","654.25","-10.16%"
"10/16/2022","728.21","762.51","762.51","726.03","-4.85%"
"10/09/2022","765.32","768.44","774.49","755.20","-0.34%"
"10/02/2022","767.95","767.83","767.95","735.79","0.28%"
"09/25/2022","765.80","769.45","788.61","765.80","0.74%"
"09/18/2022","760.20","725.10","760.20","722.45","3.75%"
"09/11/2022","732.75","672.49","783.07","672.49","8.38%"
"09/04/2022","676.09","783.07","784.07","676.09","-9.14%"
"08/28/2022","744.13","743.06","783.07","739.50","0.65%"
"08/21/2022","739.30","792.20","817.69","721.76","-5.79%"
"08/14/2022","784.77","653.37","784.77","653.37","19.71%"
"08/07/2022","655.57","734.65","734.65","648.18","-11.09%"
"07/31/2022","737.33","820.58","820.58","730.93","-9.65%"
"07/24/2022","816.09","855.81","891.27","816.09","-3.27%"
"07/17/2022","843.72","883.43","883.43","832.72","-3.51%"
"07/10/2022","874.40","858.65","908.40","858.65","2.21%"
"07/03/2022","855.47","844.30","860.34","829.20","3.17%"
"06/26/2022","829.20","788.71","844.80","775.59","5.29%"
"06/19/2022","787.55","818.49","824.05","787.55","-6.01%"
"06/12/2022","837.88","835.55","872.26","813.78","0.00%"
"06/05/2022","837.92","716.12","837.92","716.12","17.40%"
"05/29/2022","713.73","705.98","716.16","701.21","1.48%"
"05/22/2022","703.35","719.75","729.06","701.55","-1.59%"
"05/15/2022","714.68","707.83","728.22","700.83","1.10%"
"05/08/2022","706.89","657.38","706.89","657.38","7.89%"
"05/01/2022","655.22","612.83","655.22","612.55","6.91%"
"04/24/2022","612.88","583.19","612.88","583.19","5.17%"
"04/17/2022","582.73","588.95","602.16","577.56","-0.01%"
"04/10/2022","582.77","589.19","596.85","582.77","-0.60%"
"04/03/2022","586.29","551.97","587.70","550.47","6.93%"
"03/27/2022","548.29","585.63","585.63","538.67","-5.78%"
"03/20/2022","581.91","571.23","594.25","571.23","1.31%"
"03/13/2022","574.37","661.51","661.51","566.30","-12.54%"
"03/06/2022","656.76","651.15","691.95","645.28","1.78%"
"02/27/2022","645.28","567.63","645.28","567.63","15.24%"
"02/20/2022","559.96","529.00","596.64","529.00","6.42%"
"02/13/2022","526.18","509.73","526.18","509.73","4.21%"
"02/06/2022","504.93","544.25","544.25","504.93","-6.39%"
