country,age,time,childhood
AUS,AGE_3,2010,71.775
AUS,AGE_3,2013,62.342
AUS,AGE_3,2014,69.361
AUS,AGE_3,2015,68.371
AUS,AGE_3,2016,63.336
AUS,AGE_3,2017,65.957
AUS,AGE_3,2018,65.068
AUS,AGE_3,2019,65.877
AUS,AGE_3,2020,64.954
AUS,AGE_4,2005,52.528
AUS,AGE_4,2010,51.378
AUS,AGE_4,2011,67.337
AUS,AGE_4,2012,75.611
AUS,AGE_4,2013,81.989
AUS,AGE_4,2014,85.164
AUS,AGE_4,2015,90.499
AUS,AGE_4,2016,90.769
AUS,AGE_4,2017,86.431
AUS,AGE_4,2018,87.25
AUS,AGE_4,2019,84.264
AUS,AGE_4,2020,82.27
AUS,AGE_5,2005,90.34
AUS,AGE_5,2010,98.699
AUS,AGE_5,2011,97.016
AUS,AGE_5,2012,100
AUS,AGE_5,2013,100
AUS,AGE_5,2014,100
AUS,AGE_5,2015,100
AUS,AGE_5,2016,100
AUS,AGE_5,2017,99.255
AUS,AGE_5,2018,99.99
AUS,AGE_5,2019,99.659
AUS,AGE_5,2020,96.996
AUT,AGE_3,2005,50.924
AUT,AGE_3,2010,66.388
AUT,AGE_3,2011,68.719
AUT,AGE_3,2012,70.075
AUT,AGE_3,2013,71.35
AUT,AGE_3,2014,72.884
AUT,AGE_3,2015,74.821
AUT,AGE_3,2016,75.783
AUT,AGE_3,2017,76.462
AUT,AGE_3,2018,77.28
AUT,AGE_3,2019,77.815
AUT,AGE_3,2020,77.851
AUT,AGE_4,2005,82.61
AUT,AGE_4,2010,89.93
AUT,AGE_4,2011,92.027
AUT,AGE_4,2012,91.252
AUT,AGE_4,2013,91.356
AUT,AGE_4,2014,91.874
AUT,AGE_4,2015,92.517
AUT,AGE_4,2016,92.722
AUT,AGE_4,2017,93.477
AUT,AGE_4,2018,93.94
AUT,AGE_4,2019,93.998
AUT,AGE_4,2020,93.928
AUT,AGE_5,2005,92.916
AUT,AGE_5,2010,95.508
AUT,AGE_5,2011,97.455
AUT,AGE_5,2012,96.722
AUT,AGE_5,2013,96.521
AUT,AGE_5,2014,96.018
AUT,AGE_5,2015,97.09
AUT,AGE_5,2016,96.995
AUT,AGE_5,2017,97.835
AUT,AGE_5,2018,98.037
AUT,AGE_5,2019,98.009
AUT,AGE_5,2020,97.745
BEL,AGE_3,2017,98.616
BEL,AGE_3,2018,98.488
BEL,AGE_3,2019,97.867
BEL,AGE_4,2016,98.325
BEL,AGE_4,2017,98.634
BEL,AGE_4,2018,98.303
BEL,AGE_4,2019,98.272
BEL,AGE_5,2016,98.249
BEL,AGE_5,2017,98.681
BEL,AGE_5,2018,98.681
BEL,AGE_5,2019,98.637
CZE,AGE_3,2005,65.604
CZE,AGE_3,2010,59.631
CZE,AGE_3,2011,58.511
CZE,AGE_3,2012,58.67
CZE,AGE_3,2013,58.931
CZE,AGE_3,2014,68.397
CZE,AGE_3,2015,77.258
CZE,AGE_3,2016,78.005
CZE,AGE_3,2017,79.099
CZE,AGE_3,2018,77.408
CZE,AGE_3,2019,77.633
CZE,AGE_3,2020,76.966
CZE,AGE_4,2005,91.412
CZE,AGE_4,2010,85.735
CZE,AGE_4,2011,83.697
CZE,AGE_4,2012,82.314
CZE,AGE_4,2013,82.669
CZE,AGE_4,2014,83.643
CZE,AGE_4,2015,85.299
CZE,AGE_4,2016,90.524
CZE,AGE_4,2017,88.379
CZE,AGE_4,2018,89.06
CZE,AGE_4,2019,87.082
CZE,AGE_4,2020,87.885
CZE,AGE_5,2005,97.461
CZE,AGE_5,2010,93.352
CZE,AGE_5,2011,92.21
CZE,AGE_5,2012,90.139
CZE,AGE_5,2013,88.936
CZE,AGE_5,2014,89.159
CZE,AGE_5,2015,90.652
CZE,AGE_5,2016,90.951
CZE,AGE_5,2017,95.647
CZE,AGE_5,2018,93.819
CZE,AGE_5,2019,94.377
CZE,AGE_5,2020,92.715
DNK,AGE_3,2010,95.887
DNK,AGE_3,2011,96.65
DNK,AGE_3,2012,96.224
DNK,AGE_3,2013,96.347
DNK,AGE_3,2014,96.281
DNK,AGE_3,2015,96.956
DNK,AGE_3,2016,96.585
DNK,AGE_3,2017,96.464
DNK,AGE_3,2018,98.312
DNK,AGE_3,2019,96.504
DNK,AGE_3,2020,96.432
DNK,AGE_4,2010,97.218
DNK,AGE_4,2011,97.719
DNK,AGE_4,2012,97.621
DNK,AGE_4,2013,97.469
DNK,AGE_4,2014,97.54
DNK,AGE_4,2015,97.974
DNK,AGE_4,2016,98.066
DNK,AGE_4,2017,98.044
DNK,AGE_4,2018,99.808
DNK,AGE_4,2019,98.129
DNK,AGE_4,2020,98.022
DNK,AGE_5,2010,97.632
DNK,AGE_5,2011,98.579
DNK,AGE_5,2012,98.672
DNK,AGE_5,2013,99.075
DNK,AGE_5,2014,98.661
DNK,AGE_5,2015,98.937
DNK,AGE_5,2016,98.223
DNK,AGE_5,2017,98.04
DNK,AGE_5,2018,100
DNK,AGE_5,2019,98.434
DNK,AGE_5,2020,98.32
FIN,AGE_3,2000,60.023
FIN,AGE_3,2005,62.348
FIN,AGE_3,2010,67.122
FIN,AGE_3,2011,67.864
FIN,AGE_3,2012,68.54
FIN,AGE_3,2013,68.175
FIN,AGE_3,2014,68.219
FIN,AGE_3,2015,68.373
FIN,AGE_3,2016,72.974
FIN,AGE_3,2017,73.496
FIN,AGE_3,2018,77.405
FIN,AGE_3,2019,80.423
FIN,AGE_3,2020,84.505
FIN,AGE_4,2000,67.026
FIN,AGE_4,2005,68.579
FIN,AGE_4,2010,73.469
FIN,AGE_4,2011,73.884
FIN,AGE_4,2012,74.189
FIN,AGE_4,2013,74.692
FIN,AGE_4,2014,73.934
FIN,AGE_4,2015,74.472
FIN,AGE_4,2016,79.271
FIN,AGE_4,2017,79.734
FIN,AGE_4,2018,82.608
FIN,AGE_4,2019,85.009
FIN,AGE_4,2020,88.103
FIN,AGE_5,2000,71.189
FIN,AGE_5,2005,73.294
FIN,AGE_5,2010,77.401
FIN,AGE_5,2011,79.089
FIN,AGE_5,2012,79.35
FIN,AGE_5,2013,79.697
FIN,AGE_5,2014,79.352
FIN,AGE_5,2015,78.819
FIN,AGE_5,2016,84.451
FIN,AGE_5,2017,85.005
FIN,AGE_5,2018,86.727
FIN,AGE_5,2019,89.487
FIN,AGE_5,2020,91.594
FRA,AGE_3,2005,100
FRA,AGE_3,2010,99.467
FRA,AGE_3,2011,99.571
FRA,AGE_3,2012,99.733
FRA,AGE_3,2013,99.208
FRA,AGE_3,2014,98.714
FRA,AGE_3,2015,99.557
FRA,AGE_3,2016,99.548
FRA,AGE_3,2017,99.862
FRA,AGE_3,2018,100
FRA,AGE_3,2019,100
FRA,AGE_3,2020,100
FRA,AGE_4,2005,100
FRA,AGE_4,2010,100
FRA,AGE_4,2011,100
FRA,AGE_4,2012,100
FRA,AGE_4,2013,100
FRA,AGE_4,2014,99.523
FRA,AGE_4,2015,100
FRA,AGE_4,2016,100
FRA,AGE_4,2017,100
FRA,AGE_4,2018,100
FRA,AGE_4,2019,100
FRA,AGE_4,2020,100
FRA,AGE_5,2005,100
FRA,AGE_5,2010,100
FRA,AGE_5,2011,100
FRA,AGE_5,2012,100
FRA,AGE_5,2013,100
