date,eps,fc_eps
Dec-22,0.99,  0.79
Sep-22,0.3,  0.59
Jun-22,1.09,  0.9733
Mar-22,1.08,  1.19
Dec-21,1.06,  0.7369
Sep-21,0.37,  0.5209
Jun-21,0.8,  0.5454
Mar-21,0.79,  0.2646
Dec-20,0.32,  -0.3551
Sep-20,-0.2,  -0.7235
Jun-20,0.08,  -0.64
Mar-20,0.6,  0.91
Dec-19,1.53,  1.46
Sep-19,1.07,  0.94
Jun-19,1.35,  1.72
Mar-19,1.61,  1.58
Dec-18,1.84,  1.54
Sep-18,1.48,  1.34
Jun-18,1.87,  1.95
Mar-18,1.84,  1.7
Dec-17,1.89,  1.49
Sep-17,1.07,  1.13
Jun-17,1.58,  1.55
Mar-17,1.5,  1.41
Dec-16,1.55,  1.45
Sep-16,1.1,  1.16
Jun-16,1.62,  1.61
Mar-16,1.36,  1.40
Dec-15,1.63,  1.07
Sep-15,1.2,  1.14
Jun-15,1.2,  1.42
Mar-15,1.23,  1.11
Dec-14,1.27,  0.92
Sep-14,1.27,  0.89
