country ,gender,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,
European Union - 27 countries (from 2020),Males,19.8,,20.4,b,20.5,,20.6,,20.8,,21.0,,20.9,,21.0,,21.2,b,21.4,
European Union - 27 countries (from 2020),Females,22.2,,23.0,b,23.1,,22.9,,23.3,,23.2,,22.8,,22.4,,22.3,b,22.9,
Euro area – 20 countries (from 2023),Males,20.3,,20.9,b,21.1,,21.3,,21.5,,21.8,,21.7,,21.8,,22.3,b,22.4,
Euro area – 20 countries (from 2023),Females,23.6,,24.7,b,24.8,,24.5,,24.9,,24.8,,24.5,,24.1,,24.1,b,24.6,
Belgium,Males,19.1,,18.0,b,18.0,,18.1,,18.4,b,19.0,,18.7,,19.0,,20.3,b,21.5,
Belgium,Females,22.4,,21.6,b,20.6,,21.0,,22.0,b,22.0,,21.2,,21.0,,22.9,b,23.7,
Bulgaria,Males,25.6,,24.5,b,25.9,,24.1,,24.6,,24.8,,24.9,,25.3,,22.5,b,22.7,
Bulgaria,Females,22.4,,22.8,b,21.8,,21.1,,22.9,,22.8,,21.5,,19.6,,19.6,b,20.7,
Czechia,Males,11.1,,11.2,b,11.2,,11.3,,11.6,,13.1,,12.4,,12.4,,11.2,b,11.7,
Czechia,Females,15.9,,15.6,b,15.8,,16.4,,17.6,,16.2,,18.0,,16.3,,16.3,b,17.0,
Denmark,Males,12.1,,13.4,b,14.0,,13.6,b,14.5,b,14.0,,13.2,,13.4,,14.8,b,13.3,
Denmark,Females,12.3,,13.6,b,14.8,,13.5,b,14.8,b,14.3,,14.2,,13.7,,14.5,b,15.1,
Germany,Males,17.3,,17.8,b,17.1,,17.7,,17.7,,18.0,,17.3,,19.2,b,19.9,b,19.6,
Germany,Females,19.1,,20.4,b,19.8,,20.3,,20.4,,19.6,,19.3,,20.8,b,20.6,b,20.5,
Estonia,Males,26.3,,25.5,b,24.1,,23.5,,20.4,,20.2,,24.0,,23.7,,23.5,b,23.6,
Estonia,Females,27.9,,25.8,b,26.6,,24.3,,22.0,,21.4,,23.0,,22.9,,19.4,b,20.1,
Ireland,Males,29.0,,29.0,b,28.3,,27.1,,28.2,b,28.4,,28.7,,27.9,,26.9,b,27.7,
Ireland,Females,31.3,,30.7,b,30.4,,30.1,,30.6,b,30.9,,31.4,,31.2,,30.2,b,29.3,
Greece,Males,26.9,,27.9,b,28.5,,30.1,,31.6,,32.5,,32.6,,30.9,,34.5,b,33.8,
Greece,Females,22.7,,25.4,b,27.9,,29.1,,30.1,,30.7,,32.0,,29.5,,30.7,b,31.0,
Spain,Males,34.5,,35.4,b,36.2,,35.9,,36.2,,36.4,,36.0,,35.4,,35.5,bd,34.9,d
Spain,Females,36.2,,37.4,b,38.0,,37.2,,37.6,,38.1,,37.2,,36.1,,36.3,bd,36.8,d
France,Males,18.3,b,19.2,b,19.5,,19.8,,19.8,,19.6,,20.0,,19.3,,19.7,bd,20.6,d
France,Females,23.7,b,25.0,b,24.4,,23.4,,24.0,,23.8,,23.2,,22.7,,21.4,bd,22.5,d
Croatia,Males,13.0,,11.6,b,14.4,,15.0,,13.8,,12.1,,12.1,,13.7,,15.7,b,15.1,
Croatia,Females,13.6,,13.3,b,15.4,,14.1,,15.0,,16.1,,15.9,,13.2,,14.6,b,17.2,
Italy,Males,13.4,,13.9,b,15.0,,14.7,,15.7,,16.6,,16.1,,15.8,,16.9,b,18.2,
Italy,Females,23.4,,22.8,b,23.1,,22.9,,23.7,,23.8,,23.4,,23.3,,24.0,b,25.4,
Cyprus,Males,27.2,,25.6,b,27.5,,29.0,,28.1,,27.2,,28.4,,29.5,,27.3,b,27.5,
Cyprus,Females,38.6,,38.1,b,38.8,,40.5,,39.0,,38.1,,37.8,,36.1,,36.4,b,35.5,
Latvia,Males,22.7,,20.3,b,23.1,,23.0,,20.5,,23.0,,26.4,,22.0,,20.9,b,21.1,
Latvia,Females,18.9,,18.2,b,16.8,,16.1,,17.1,,19.8,,18.6,,15.7,,16.6,b,17.6,
Lithuania,Males,19.5,,22.3,b,27.5,,25.5,,26.2,,26.2,,27.9,,26.5,,24.2,b,25.2,
Lithuania,Females,15.0,,15.5,b,20.3,,20.6,,20.8,,20.4,,22.0,,21.2,,20.5,b,20.1,
Luxembourg,Males,5.3,,4.4,b,4.0,b,4.8,,3.4,,4.4,,4.3,,3.7,,4.9,b,6.0,
Luxembourg,Females,6.4,,4.5,b,4.3,b,5.2,,4.8,,6.1,,5.8,,4.5,,6.0,b,7.6,
Hungary,Males,13.8,,14.4,b,14.4,,15.3,,14.2,,14.7,,13.6,,13.1,,12.8,b,13.3,
Hungary,Females,13.9,,13.3,b,13.8,,13.8,,13.9,,15.1,,16.2,,14.7,,14.1,b,15.2,
Malta,Males,8.5,,9.8,b,9.9,,9.9,,10.9,,14.6,,16.6,,15.5,,15.1,b,13.0,
Malta,Females,18.1,,18.8,b,17.6,,19.1,,23.5,,24.6,,21.1,,19.9,,25.5,b,23.9,
Netherlands,Males,13.9,b,14.3,b,14.5,,13.9,,14.5,,14.7,,15.8,b,15.9,,15.1,b,14.5,
Netherlands,Females,17.8,b,18.4,b,18.5,,17.4,,18.0,,17.7,,17.9,b,17.6,,17.3,b,16.1,
Austria,Males,26.9,,28.0,b,28.2,,28.4,,27.4,,27.4,,28.7,,28.0,,27.5,b,28.0,
Austria,Females,18.3,,29.7,b,30.1,,31.2,,30.6,,29.1,,29.2,,27.5,,27.7,b,27.5,
Poland,Males,20.8,,21.2,b,20.0,,20.9,,20.7,,20.0,,20.5,,21.2,,19.8,b,21.3,
Poland,Females,18.7,,18.7,b,18.4,,19.0,,19.3,,18.8,,17.9,,17.5,,17.8,b,18.5,
Portugal,Males,10.1,,9.9,b,10.1,,11.4,,12.0,,11.1,,11.4,,10.1,,11.6,b,11.9,
Portugal,Females,13.7,,14.8,b,14.8,,15.1,,15.2,,15.3,,17.0,,15.5,,15.5,b,16.8,
Romania,Males,17.9,,18.4,b,18.6,,17.4,,18.0,,17.7,,15.5,,18.0,,17.0,b,15.9,
Romania,Females,16.7,,17.2,b,18.5,,17.0,,17.2,,18.0,,16.7,,16.3,,15.5,b,17.1,
Slovenia,Males,11.8,,11.5,b,15.6,,15.8,,14.7,,15.6,,16.7,,15.2,,18.2,b,16.9,
Slovenia,Females,13.0,,12.8,b,14.9,,15.6,,15.3,,16.0,,15.8,,15.7,,17.8,b,18.2,
Slovakia,Males,17.8,,18.0,b,19.6,,19.2,,19.5,,21.2,,20.6,,20.2,,19.0,b,19.5,
Slovakia,Females,20.0,,19.3,b,22.7,,22.9,,24.5,,25.9,,24.3,,24.4,,25.6,b,26.2,
Finland,Males,14.7,,15.5,b,16.1,,16.0,,15.1,,15.0,,15.4,,13.9,,15.3,b,14.4,
Finland,Females,22.1,,21.5,b,20.9,,21.3,,21.1,,21.2,,19.4,,18.3,,19.8,b,19.3,
Sweden,Males,17.3,,17.1,b,16.8,,17.1,,17.4,,17.5,b,16.9,,15.3,,14.1,b,14.3,
Sweden,Females,15.5,,15.9,b,16.1,,15.3,,15.4,,15.2,b,14.2,,13.8,,12.9,b,13.0,
Iceland,Males,11.1,,11.4,b,12.3,,11.6,,12.7,,15.3,,14.6,,12.2,b,16.6,b,18.9,
Iceland,Females,12.9,,13.3,b,13.4,,14.4,,14.3,,15.8,,13.3,,14.5,b,15.4,b,15.0,
Norway,Males,13.4,,16.7,b,17.3,,16.5,,16.5,,17.5,,17.0,,16.0,,17.3,b,17.3,
Norway,Females,14.4,u,14.1,b,13.8,,14.0,,13.6,,15.4,,15.6,,16.0,,16.2,b,16.2,
Switzerland,Males,22.0,,22.0,b,21.0,,19.9,,20.9,,20.2,,19.5,,19.7,,19.0,b,17.3,
Switzerland,Females,21.4,,21.9,b,22.1,,21.8,,21.3,,21.1,,20.5,,19.7,,18.7,b,18.2,
United Kingdom,Males,21.7,,22.2,b,23.2,,23.2,,23.9,,23.3,,22.5,,:,,:,,:,
United Kingdom,Females,27.3,,27.6,b,28.3,,28.2,,27.5,,27.7,,27.7,,:,,:,,:,
Montenegro,Males,16.0,,20.5,b,16.8,,21.3,,19.1,,17.5,,17.9,,19.4,,:,,:,
Montenegro,Females,12.7,,15.6,b,16.3,,13.0,,9.8,,9.8,,14.2,,17.8,,:,,:,
North Macedonia,Males,19.8,,26.0,b,25.0,,22.9,,24.7,,24.6,,29.5,,28.2,,:,,:,
North Macedonia,Females,18.4,,19.5,b,25.2,,20.6,,19.9,,22.2,,23.4,,24.0,,:,,:,
Serbia,Males,24.2,,23.4,b,25.3,,26.1,,26.4,,26.9,,27.0,,27.0,,24.2,b,24.7,
Serbia,Females,16.9,,19.4,b,22.2,,22.0,,24.9,,25.2,,26.8,,26.5,,26.4,b,25.6,
Türkiye,Males,34.4,,34.2,b,35.4,,36.0,,37.0,,37.2,,38.1,,38.4,,:,,:,
Türkiye,Females,28.5,,29.9,b,30.1,,30.1,,30.7,,30.8,,31.0,,30.5,,:,,:,
