symbol,date,value
KRW,01/01/2018,1066.60
KRW,01/02/2018,1063.21
KRW,01/03/2018,1064.80
KRW,01/04/2018,1062.28
KRW,01/05/2018,1062.09
KRW,01/08/2018,1068.86
KRW,01/09/2018,1071.97
KRW,01/10/2018,1070.14
KRW,01/11/2018,1065.58
KRW,01/12/2018,1059.99
KRW,01/15/2018,1063.43
KRW,01/16/2018,1064.65
KRW,01/17/2018,1067.36
KRW,01/18/2018,1070.69
KRW,01/19/2018,1067.66
KRW,01/22/2018,1069.40
KRW,01/23/2018,1073.89
KRW,01/24/2018,1064.98
KRW,01/25/2018,1066.06
KRW,01/26/2018,1064.67
KRW,01/29/2018,1070.95
KRW,01/30/2018,1073.23
KRW,01/31/2018,1070.08
KRW,02/01/2018,1070.94
KRW,02/02/2018,1089.95
KRW,02/05/2018,1094.84
KRW,02/06/2018,1080.06
KRW,02/07/2018,1090.24
KRW,02/08/2018,1097.58
KRW,02/09/2018,1085.67
KRW,02/12/2018,1082.60
KRW,02/13/2018,1085.05
KRW,02/14/2018,1070.91
KRW,02/15/2018,1064.14
KRW,02/16/2018,1067.19
KRW,02/19/2018,1067.41
KRW,02/20/2018,1074.91
KRW,02/21/2018,1076.02
KRW,02/22/2018,1080.72
KRW,02/23/2018,1077.00
KRW,02/26/2018,1070.67
KRW,02/27/2018,1081.45
KRW,02/28/2018,1085.21
KRW,03/01/2018,1082.84
KRW,03/02/2018,1079.69
KRW,03/05/2018,1077.67
KRW,03/06/2018,1063.96
KRW,03/07/2018,1067.43
KRW,03/08/2018,1074.11
KRW,03/09/2018,1065.38
KRW,03/12/2018,1065.02
KRW,03/13/2018,1066.88
KRW,03/14/2018,1064.55
KRW,03/15/2018,1069.78
KRW,03/16/2018,1070.53
KRW,03/19/2018,1073.49
KRW,03/20/2018,1071.91
KRW,03/21/2018,1064.76
KRW,03/22/2018,1081.21
KRW,03/23/2018,1083.87
KRW,03/26/2018,1075.69
KRW,03/27/2018,1075.13
KRW,03/28/2018,1064.56
KRW,03/29/2018,1063.08
KRW,03/30/2018,1061.26
KRW,04/02/2018,1057.16
KRW,04/03/2018,1054.94
KRW,04/04/2018,1058.28
KRW,04/05/2018,1062.63
KRW,04/06/2018,1070.76
KRW,04/09/2018,1069.71
KRW,04/10/2018,1064.82
KRW,04/11/2018,1066.82
KRW,04/12/2018,1071.04
KRW,04/13/2018,1071.68
KRW,04/16/2018,1070.68
KRW,04/17/2018,1067.12
KRW,04/18/2018,1065.12
KRW,04/19/2018,1067.21
KRW,04/20/2018,1071.10
KRW,04/23/2018,1081.20
KRW,04/24/2018,1077.28
KRW,04/25/2018,1082.21
KRW,04/26/2018,1077.69
KRW,04/27/2018,1067.86
KRW,04/30/2018,1070.45
KRW,05/01/2018,1073.48
KRW,05/02/2018,1079.85
KRW,05/03/2018,1075.56
KRW,05/04/2018,1074.11
KRW,05/07/2018,1080.03
KRW,05/08/2018,1078.56
KRW,05/09/2018,1079.38
KRW,05/10/2018,1065.80
KRW,05/11/2018,1067.98
KRW,05/14/2018,1070.94
KRW,05/15/2018,1080.82
KRW,05/16/2018,1077.74
KRW,05/17/2018,1082.59
KRW,05/18/2018,1081.37
KRW,05/21/2018,1077.69
KRW,05/22/2018,1076.54
KRW,05/23/2018,1077.25
KRW,05/24/2018,1081.69
KRW,05/25/2018,1078.38
KRW,05/28/2018,1075.24
KRW,05/29/2018,1084.37
