region,year,lpi
Africa,1970,100
Africa,1971,95.4619689
Africa,1972,94.6834134
Africa,1973,99.1811736
Africa,1974,99.384934
Africa,1975,96.6180782
Africa,1976,92.4301969
Africa,1977,87.2671198
Africa,1978,80.7315407
Africa,1979,76.9254314
Africa,1980,76.9081876
Africa,1981,79.5767414
Africa,1982,76.4077794
Africa,1983,73.1503259
Africa,1984,68.4761215
Africa,1985,63.7356956
Africa,1986,59.7940078
Africa,1987,57.3022634
Africa,1988,56.0417189
Africa,1989,55.1636921
Africa,1990,53.5341213
Africa,1991,52.4957607
Africa,1992,52.5530614
Africa,1993,52.8797177
Africa,1994,53.7990254
Africa,1995,53.2089821
Africa,1996,53.3139984
Africa,1997,52.3589476
Africa,1998,51.4812834
Africa,1999,50.7354963
Africa,2000,49.8478206
Africa,2001,47.7969422
Africa,2002,45.4182948
Africa,2003,43.4670747
Africa,2004,43.0759027
Africa,2005,42.3475095
Africa,2006,41.7608907
Africa,2007,41.7640316
Africa,2008,42.1065122
Africa,2009,42.209775
Africa,2010,41.1133919
Africa,2011,39.3256355
Africa,2012,36.9574054
Africa,2013,34.5145394
Africa,2014,32.4928695
Africa,2015,31.2935728
Africa,2016,32.0542215
Africa,2017,34.4458751
Asia and Pacific,1970,100
Asia and Pacific,1971,103.7109657
Asia and Pacific,1972,104.8386686
Asia and Pacific,1973,104.1134016
Asia and Pacific,1974,104.9811427
Asia and Pacific,1975,105.9803663
Asia and Pacific,1976,106.0154597
Asia and Pacific,1977,104.1612733
Asia and Pacific,1978,102.561853
Asia and Pacific,1979,101.4466364
Asia and Pacific,1980,100.6715203
Asia and Pacific,1981,99.0261526
Asia and Pacific,1982,96.7173069
Asia and Pacific,1983,93.7090272
Asia and Pacific,1984,92.2515952
Asia and Pacific,1985,92.4585355
Asia and Pacific,1986,94.2524124
Asia and Pacific,1987,94.7575872
Asia and Pacific,1988,94.4038539
Asia and Pacific,1989,93.0612438
Asia and Pacific,1990,90.0934888
Asia and Pacific,1991,86.5267314
Asia and Pacific,1992,82.8573325
Asia and Pacific,1993,78.792209
Asia and Pacific,1994,75.6363913
Asia and Pacific,1995,72.3442216
Asia and Pacific,1996,70.8067779
Asia and Pacific,1997,68.9327964
Asia and Pacific,1998,66.6941388
Asia and Pacific,1999,64.5040725
Asia and Pacific,2000,62.2660213
Asia and Pacific,2001,61.2744996
Asia and Pacific,2002,61.505192
Asia and Pacific,2003,62.2018732
Asia and Pacific,2004,63.0619512
Asia and Pacific,2005,62.8762271
Asia and Pacific,2006,62.6798659
Asia and Pacific,2007,59.9801206
Asia and Pacific,2008,55.8495942
Asia and Pacific,2009,50.0529029
Asia and Pacific,2010,46.7976584
Asia and Pacific,2011,44.4239072
Asia and Pacific,2012,43.9966301
Asia and Pacific,2013,44.6490574
Asia and Pacific,2014,45.9181376
Asia and Pacific,2015,46.883876
Asia and Pacific,2016,44.7551455
Asia and Pacific,2017,44.3357649
Asia and Pacific,2018,44.6796495
Europe and Central Asia,1970,100
Europe and Central Asia,1971,101.2722582
Europe and Central Asia,1972,103.2878696
Europe and Central Asia,1973,105.6278309
Europe and Central Asia,1974,107.5769485
Europe and Central Asia,1975,108.685179
Europe and Central Asia,1976,109.4471862
Europe and Central Asia,1977,110.9426994
Europe and Central Asia,1978,112.8089544
Europe and Central Asia,1979,113.8832152
Europe and Central Asia,1980,113.8179769
Europe and Central Asia,1981,113.0956011
Europe and Central Asia,1982,113.4491216
Europe and Central Asia,1983,112.0039122
Europe and Central Asia,1984,112.0508611
Europe and Central Asia,1985,111.9430216
Europe and Central Asia,1986,113.9536756
Europe and Central Asia,1987,116.7714251
Europe and Central Asia,1988,121.412525
Europe and Central Asia,1989,126.9586022
Europe and Central Asia,1990,130.5446892
Europe and Central Asia,1991,130.7410732
Europe and Central Asia,1992,128.747907
Europe and Central Asia,1993,125.2536173
Europe and Central Asia,1994,121.7116178
Europe and Central Asia,1995,118.5171294
Europe and Central Asia,1996,114.8186807
Europe and Central Asia,1997,111.9247676
Europe and Central Asia,1998,109.0750407
Europe and Central Asia,1999,107.3508444
Europe and Central Asia,2000,106.4591622
Europe and Central Asia,2001,105.061322
Europe and Central Asia,2002,104.7533639
Europe and Central Asia,2003,104.1609588
Europe and Central Asia,2004,104.877104
Europe and Central Asia,2005,105.4472695
Europe and Central Asia,2006,105.8301552
Europe and Central Asia,2007,105.5778277
Europe and Central Asia,2008,104.4336198
Europe and Central Asia,2009,104.4281631
Europe and Central Asia,2010,105.5393204
Europe and Central Asia,2011,103.0181055
Europe and Central Asia,2012,98.6053092
Europe and Central Asia,2013,92.2752804
Europe and Central Asia,2014,90.6011161
Europe and Central Asia,2015,88.4297436
Europe and Central Asia,2016,86.1145006
Europe and Central Asia,2017,83.4874868
Europe and Central Asia,2018,82.2915342
Latin America and Caribbean,1970,100
Latin America and Caribbean,1971,101.0071636
Latin America and Caribbean,1972,99.5231095
Latin America and Caribbean,1973,95.2122285
Latin America and Caribbean,1974,89.5563479
Latin America and Caribbean,1975,83.3978282
Latin America and Caribbean,1976,78.0728071
Latin America and Caribbean,1977,73.0437843
Latin America and Caribbean,1978,69.5593466
Latin America and Caribbean,1979,67.4653369
Latin America and Caribbean,1980,65.0498838
Latin America and Caribbean,1981,62.513807
Latin America and Caribbean,1982,58.2923756
Latin America and Caribbean,1983,53.3732362
Latin America and Caribbean,1984,49.6977588
Latin America and Caribbean,1985,46.941833
Latin America and Caribbean,1986,44.3168275
Latin America and Caribbean,1987,40.6477786
Latin America and Caribbean,1988,37.7652622
Latin America and Caribbean,1989,35.9970139
Latin America and Caribbean,1990,34.9957577
Latin America and Caribbean,1991,33.7526107
Latin America and Caribbean,1992,32.3694842
Latin America and Caribbean,1993,30.5792635
Latin America and Caribbean,1994,28.6838626
Latin America and Caribbean,1995,26.6828334
Latin America and Caribbean,1996,25.4086279
Latin America and Caribbean,1997,24.0465035
Latin America and Caribbean,1998,22.5881777
Latin America and Caribbean,1999,20.8280991
Latin America and Caribbean,2000,19.7551713
Latin America and Caribbean,2001,18.5563816
Latin America and Caribbean,2002,17.4334989
Latin America and Caribbean,2003,16.2074901
Latin America and Caribbean,2004,15.498992
Latin America and Caribbean,2005,15.3081408
Latin America and Caribbean,2006,15.0125798
Latin America and Caribbean,2007,14.5484609
Latin America and Caribbean,2008,13.5933336
Latin America and Caribbean,2009,11.9460841
Latin America and Caribbean,2010,10.3764877
Latin America and Caribbean,2011,8.8097502
Latin America and Caribbean,2012,8.1147527
Latin America and Caribbean,2013,7.7500345
Latin America and Caribbean,2014,7.7751585
Latin America and Caribbean,2015,7.8492061
Latin America and Caribbean,2016,7.406642
Latin America and Caribbean,2017,6.8550363
Latin America and Caribbean,2018,6.4136321
North America,1970,100
North America,1971,99.7004935
North America,1972,98.1814349
North America,1973,96.0216008
North America,1974,92.0815989
North America,1975,89.9868154
North America,1976,89.2258526
North America,1977,89.8321014
North America,1978,90.7552718
North America,1979,91.1322222
North America,1980,90.8661431
North America,1981,90.0886972
North America,1982,89.6391462
North America,1983,89.5306246
North America,1984,88.8905432
North America,1985,88.7670986
North America,1986,88.2464152
North America,1987,87.4895724
North America,1988,86.5777728
North America,1989,85.2738235
North America,1990,85.2314494
North America,1991,84.3305661
North America,1992,84.5488738
North America,1993,84.5954698
North America,1994,85.1541729
North America,1995,82.9825009
North America,1996,80.4505306
North America,1997,77.9770309
North America,1998,76.0023184
North America,1999,74.0255493
North America,2000,72.1602279
North America,2001,70.7939447
North America,2002,71.131851
North America,2003,71.8898774
North America,2004,73.6451328
North America,2005,73.6880222
North America,2006,73.6199415
North America,2007,73.5673982
North America,2008,73.5583422
North America,2009,73.3446659
North America,2010,72.690968
North America,2011,72.3160147
North America,2012,70.9925742
North America,2013,70.2641731
North America,2014,70.7846323
North America,2015,72.9642716
North America,2016,75.4335217
North America,2017,77.5017625
North America,2018,79.6477817
