"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","10.2395","10.1430","10.1430","10.1430","","1.11%"
"10/15/2023","10.1270","10.1529","10.1529","10.1529","","-0.29%"
"10/08/2023","10.1567","9.9897","9.9897","9.9897","","1.31%"
"10/01/2023","10.0256","10.0521","10.0521","10.0521","","0.25%"
"09/24/2023","10.0007","9.9896","9.9896","9.9896","","0.66%"
"09/17/2023","9.9347","9.8889","9.8889","9.8889","","0.47%"
"09/10/2023","9.8886","9.8833","9.8833","9.8833","","0.31%"
"09/03/2023","9.8584","9.8528","9.8528","9.8528","","0.03%"
"08/27/2023","9.8552","9.7281","9.7281","9.7281","","-1.22%"
"08/20/2023","9.9766","9.8883","9.8883","9.8883","","0.76%"
"08/13/2023","9.9014","9.9470","9.9470","9.9470","","-0.58%"
"08/06/2023","9.9589","9.9158","9.9158","9.9158","","0.76%"
"07/30/2023","9.8835","9.9256","9.9256","9.9256","","0.09%"
"07/23/2023","9.8747","9.8544","9.8544","9.8544","","0.30%"
"07/16/2023","9.8453","9.5142","9.5142","9.5142","","3.66%"
"07/09/2023","9.4979","9.2837","9.2837","9.2837","","2.42%"
"07/02/2023","9.2736","9.2553","9.2553","9.2553","","0.47%"
"06/25/2023","9.2305","9.0187","9.0187","9.0187","","9.88%"
"06/18/2023","8.4007","8.5076","8.5076","8.5076","","-1.07%"
"06/11/2023","8.4916","8.3654","8.3654","8.3654","","1.97%"
"06/04/2023","8.3272","7.3425","7.3425","7.3425","","14.59%"
"05/28/2023","7.2671","6.7879","6.7879","6.7879","","7.21%"
"05/21/2023","6.7782","6.7175","6.7175","6.7175","","0.90%"
"05/14/2023","6.7175","7.1630","7.1630","7.1630","","-5.95%"
"05/07/2023","7.1421","6.9785","6.9785","6.9785","","2.07%"
"04/30/2023","6.9976","6.9974","6.9974","6.9974","","0.12%"
"04/23/2023","6.9895","6.9693","6.9693","6.9693","","0.33%"
"04/16/2023","6.9663","7.0172","7.0172","7.0172","","-0.29%"
"04/09/2023","6.9868","6.9422","6.9422","6.9422","","0.54%"
"04/02/2023","6.9494","6.9348","6.9348","6.9348","","0.08%"
"03/26/2023","6.9436","6.9283","6.9283","6.9283","","0.73%"
"03/19/2023","6.8932","6.8449","6.8449","6.8449","","1.04%"
"03/12/2023","6.8224","6.7527","6.7527","6.7527","","1.18%"
"03/05/2023","6.7429","6.7432","6.7432","6.7432","","0.76%"
"02/26/2023","6.6918","6.6815","6.6815","6.6815","","0.58%"
"02/19/2023","6.6534","6.6458","6.6458","6.6458","","-0.09%"
"02/12/2023","6.6592","6.6716","6.6716","6.6716","","-0.35%"
"02/05/2023","6.6829","6.7562","6.7562","6.7562","","-1.04%"
"01/29/2023","6.7528","6.6970","6.6970","6.6970","","0.82%"
"01/22/2023","6.6980","6.6799","6.6799","6.6799","","0.25%"
"01/15/2023","6.6814","6.6881","6.6881","6.6881","","-0.03%"
"01/08/2023","6.6834","6.6886","6.6886","6.6886","","-0.47%"
"01/01/2023","6.7146","6.6881","6.6881","6.6881","","0.40%"
"12/25/2022","6.6880","6.6808","6.6808","6.6808","","0.06%"
"12/18/2022","6.6839","6.6765","6.6765","6.6765","","0.00%"
"12/11/2022","6.6837","6.6793","6.6793","6.6793","","0.30%"
"12/04/2022","6.6640","6.6729","6.6729","6.6729","","0.10%"
"11/27/2022","6.6575","6.6183","6.6183","6.6183","","0.86%"
"11/20/2022","6.6004","6.5580","6.5580","6.5580","","0.66%"
"11/13/2022","6.5572","6.5486","6.5486","6.5486","","0.71%"
"11/06/2022","6.5108","6.4696","6.4696","6.4696","","1.05%"
"10/30/2022","6.4431","6.4269","6.4269","6.4269","","0.27%"
"10/23/2022","6.4255","6.3088","6.3088","6.3088","","1.73%"
"10/16/2022","6.3163","6.2943","6.2943","6.2943","","0.60%"
"10/09/2022","6.2785","6.2870","6.2870","6.2870","","-0.40%"
"10/02/2022","6.3039","6.2757","6.2757","6.2757","","1.06%"
"09/25/2022","6.2377","6.1902","6.1902","6.1902","","0.33%"
"09/18/2022","6.2171","6.1807","6.1807","6.1807","","-0.01%"
"09/11/2022","6.2179","6.2344","6.2344","6.2344","","0.27%"
"09/04/2022","6.2011","6.1522","6.1522","6.1522","","1.27%"
"08/28/2022","6.1232","6.1775","6.1775","6.1775","","-0.71%"
"08/21/2022","6.1671","6.0714","6.0714","6.0714","","1.66%"
"08/14/2022","6.0666","6.2003","6.2003","6.2003","","-2.15%"
"08/07/2022","6.1999","6.1293","6.1293","6.1293","","1.70%"
"07/31/2022","6.0963","5.9485","5.9485","5.9485","","3.69%"
"07/24/2022","5.8795","5.8421","5.8421","5.8421","","1.09%"
"07/17/2022","5.8160","5.6151","5.6151","5.6151","","3.69%"
"07/10/2022","5.6089","5.6617","5.6617","5.6617","","-0.80%"
"07/03/2022","5.6540","5.5038","5.5038","5.5038","","3.41%"
"06/26/2022","5.4675","5.7948","5.7948","5.7948","","-5.24%"
"06/19/2022","5.7699","5.6551","5.6551","5.6551","","2.46%"
"06/12/2022","5.6315","5.5803","5.5803","5.5803","","-1.32%"
"06/05/2022","5.7070","5.6104","5.6104","5.6104","","2.01%"
"05/29/2022","5.5945","5.5576","5.5576","5.5576","","1.16%"
"05/22/2022","5.5301","5.3719","5.3719","5.3719","","2.95%"
"05/15/2022","5.3719","5.1999","5.1999","5.1999","","3.56%"
"05/08/2022","5.1874","5.0970","5.0970","5.0970","","0.48%"
"05/01/2022","5.1624","5.1666","5.1666","5.1666","","-0.37%"
"04/24/2022","5.1816","5.1515","5.1515","5.1515","","0.60%"
"04/17/2022","5.1506","5.1120","5.1120","5.1120","","0.77%"
"04/10/2022","5.1112","5.1290","5.1290","5.1290","","-0.56%"
"04/03/2022","5.1402","5.1483","5.1483","5.1483","","-0.20%"
"03/27/2022","5.1503","5.1418","5.1418","5.1418","","0.14%"
"03/20/2022","5.1429","5.1399","5.1399","5.1399","","0.08%"
"03/13/2022","5.1391","5.1071","5.1071","5.1071","","1.81%"
"03/06/2022","5.0476","4.8731","4.8731","4.8731","","3.16%"
"02/27/2022","4.8928","4.8789","4.8789","4.8789","","-0.66%"
"02/20/2022","4.9255","4.7868","4.7868","4.7868","","2.95%"
"02/13/2022","4.7843","4.7535","4.7535","4.7535","","0.26%"
"02/06/2022","4.7720","4.7565","4.7565","4.7565","","0.13%"
"01/30/2022","4.7658","4.7727","4.7727","4.7727","","-0.10%"
"01/23/2022","4.7706","4.7038","4.7038","4.7038","","1.64%"
"01/16/2022","4.6935","4.6973","4.6973","4.6973","","-0.27%"
"01/09/2022","4.7062","4.7306","4.7306","4.7306","","0.15%"
"01/02/2022","4.6994","4.6032","4.6032","4.6032","","4.89%"
"12/26/2021","4.4803","4.0408","4.0408","4.0408","","13.88%"
"12/19/2021","3.9341","5.5811","5.5811","5.5811","","-25.43%"
"12/12/2021","5.2754","4.8719","4.8719","4.8719","","8.48%"
"12/05/2021","4.8630","4.7775","4.7775","4.7775","","3.70%"
"11/28/2021","4.6894","4.3055","4.3055","4.3055","","9.41%"
"11/21/2021","4.2861","4.0239","4.0239","4.0239","","9.13%"
"11/14/2021","3.9273","3.6853","3.6853","3.6853","","6.35%"
"11/07/2021","3.6930","3.6160","3.6160","3.6160","","2.67%"
"10/31/2021","3.5970","3.4820","3.4820","3.4820","","3.36%"
"10/24/2021","3.4800","3.4860","3.4860","3.4860","","2.69%"
"10/17/2021","3.3890","3.3830","3.3830","3.3830","","0.77%"
"10/10/2021","3.3630","3.2890","3.2890","3.2890","","2.37%"
"10/03/2021","3.2850","3.2660","3.2660","3.2660","","0.06%"
"09/26/2021","3.2830","3.2630","3.2630","3.2630","","1.86%"
"09/19/2021","3.2230","3.2200","3.2200","3.2200","","1.29%"
"09/12/2021","3.1820","3.1880","3.1880","3.1880","","-0.72%"
"09/05/2021","3.2050","3.1460","3.1460","3.1460","","2.30%"
"08/29/2021","3.1330","3.1690","3.1690","3.1690","","-0.79%"
