country,time,household
HUN,1995,264.1895
HUN,1996,289.8627
HUN,1997,306.5918
HUN,1998,305.4271
HUN,1999,325.9615
HUN,2000,331.0537
HUN,2001,322.6171
HUN,2002,312.713
HUN,2003,300.4218
HUN,2004,290.0046
HUN,2005,290.3378
HUN,2006,303.8727
HUN,2007,316.8001
HUN,2008,311.3015
HUN,2009,333.3477
HUN,2010,335.4234
HUN,2011,324.8904
HUN,2012,339.2473
HUN,2013,344.7383
HUN,2014,351.9915
HUN,2015,365.9498
HUN,2016,370.7466
HUN,2017,368.5851
HUN,2018,365.4905
HUN,2019,369.1333
SVK,1995,487.4685
SVK,1996,438.2662
SVK,1997,411.173
SVK,1998,394.8779
SVK,1999,376.6545
SVK,2000,364.1295
SVK,2001,353.3061
SVK,2002,320.5597
SVK,2003,322.8451
SVK,2004,312.9106
SVK,2005,286.4735
SVK,2006,299.7379
SVK,2007,312.0525
SVK,2008,312.3563
SVK,2009,296.855
SVK,2010,292.4047
SVK,2011,287.9049
SVK,2012,284.7117
SVK,2013,289.596
SVK,2014,291.7921
SVK,2015,283.3779
SVK,2016,283.8499
SVK,2017,276.5871
SVK,2018,263.3016
SVK,2019,268.014
SVK,2020,273.181
EST,1995,460.4277
EST,1996,483.7042
EST,1997,465.8854
EST,1998,414.217
EST,1999,432.0445
EST,2000,390.5592
EST,2001,376.1158
EST,2002,382.0811
EST,2003,367.1836
EST,2004,360.3278
EST,2005,321.1826
EST,2006,292.884
EST,2007,286.7571
EST,2008,281.8183
EST,2009,272.7921
EST,2010,269.75
EST,2011,270.96
EST,2012,309.4561
EST,2013,317.695
EST,2014,325.0432
EST,2015,311.8965
EST,2016,318.9956
EST,2017,326.9118
EST,2018,326.7112
EST,2019,339.2668
CZE,1995,351.1074
CZE,1996,341.7422
CZE,1997,347.3976
CZE,1998,366.1152
CZE,1999,365.2494
CZE,2000,351.8439
CZE,2001,350.0538
CZE,2002,351.0174
CZE,2003,315.0665
CZE,2004,314.6728
CZE,2005,310.8621
CZE,2006,307.8925
CZE,2007,324.3956
CZE,2008,325.3851
CZE,2009,321.2091
CZE,2010,329.783
CZE,2011,339.2083
CZE,2012,346.1972
CZE,2013,359.2237
CZE,2014,358.3165
CZE,2015,364.5428
CZE,2016,371.966
CZE,2017,360.7545
CZE,2018,362.0995
CZE,2019,367.7457
CZE,2020,392.2271
CZE,2021,388.8377
AUS,1995,319.0668
AUS,1996,318.026
AUS,1997,326.5153
AUS,1998,341.7274
AUS,1999,356.7737
AUS,2000,354.5496
AUS,2001,351.7931
AUS,2002,354.5533
AUS,2003,364.18
