LOCATION,SUBJECT,TIME,Value
AUS,NOMINAL,1970-Q1,2.458682793
AUS,NOMINAL,1970-Q2,2.519660579
AUS,NOMINAL,1970-Q3,2.583141347
AUS,NOMINAL,1970-Q4,2.648034112
AUS,NOMINAL,1971-Q1,2.7293912
AUS,NOMINAL,1971-Q2,2.806234757
AUS,NOMINAL,1971-Q3,2.888443054
AUS,NOMINAL,1971-Q4,2.981339463
AUS,NOMINAL,1972-Q1,3.051495719
AUS,NOMINAL,1972-Q2,3.116864606
AUS,NOMINAL,1972-Q3,3.205038403
AUS,NOMINAL,1972-Q4,3.361269981
AUS,NOMINAL,1973-Q1,3.459439242
AUS,NOMINAL,1973-Q2,3.671286166
AUS,NOMINAL,1973-Q3,3.980290053
AUS,NOMINAL,1973-Q4,4.237716855
AUS,NOMINAL,1974-Q1,4.511158296
AUS,NOMINAL,1974-Q2,4.663116824
AUS,NOMINAL,1974-Q3,4.742752375
AUS,NOMINAL,1974-Q4,4.843769138
AUS,NOMINAL,1975-Q1,4.927475399
AUS,NOMINAL,1975-Q2,5.120478442
AUS,NOMINAL,1975-Q3,5.304960811
AUS,NOMINAL,1975-Q4,5.45512057
AUS,NOMINAL,1976-Q1,5.636828988
AUS,NOMINAL,1976-Q2,5.749185088
AUS,NOMINAL,1976-Q3,5.798239097
AUS,NOMINAL,1976-Q4,5.99111006
AUS,NOMINAL,1977-Q1,6.105555318
AUS,NOMINAL,1977-Q2,6.218248734
AUS,NOMINAL,1977-Q3,6.306422838
AUS,NOMINAL,1977-Q4,6.441221595
AUS,NOMINAL,1978-Q1,6.559187504
AUS,NOMINAL,1978-Q2,6.490662931
AUS,NOMINAL,1978-Q3,6.602570802
AUS,NOMINAL,1978-Q4,6.708276306
AUS,NOMINAL,1979-Q1,7.00412968
AUS,NOMINAL,1979-Q2,7.375369339
AUS,NOMINAL,1979-Q3,7.638138329
AUS,NOMINAL,1979-Q4,7.824032651
AUS,NOMINAL,1980-Q1,7.919157116
AUS,NOMINAL,1980-Q2,8.226949117
AUS,NOMINAL,1980-Q3,8.625588761
AUS,NOMINAL,1980-Q4,8.966619139
AUS,NOMINAL,1981-Q1,9.45017269
AUS,NOMINAL,1981-Q2,9.633625
AUS,NOMINAL,1981-Q3,9.622253119
AUS,NOMINAL,1981-Q4,10.1247971
AUS,NOMINAL,1982-Q1,9.913503697
AUS,NOMINAL,1982-Q2,10.10834539
AUS,NOMINAL,1982-Q3,10.10815925
AUS,NOMINAL,1982-Q4,10.09011658
AUS,NOMINAL,1983-Q1,10.24498939
AUS,NOMINAL,1983-Q2,10.52050278
AUS,NOMINAL,1983-Q3,10.62524562
AUS,NOMINAL,1983-Q4,11.127807
AUS,NOMINAL,1984-Q1,11.36963115
AUS,NOMINAL,1984-Q2,11.58562798
AUS,NOMINAL,1984-Q3,12.24825819
AUS,NOMINAL,1984-Q4,12.21195105
AUS,NOMINAL,1985-Q1,12.71352151
AUS,NOMINAL,1985-Q2,12.82761211
AUS,NOMINAL,1985-Q3,13.27683097
AUS,NOMINAL,1985-Q4,13.4299649
AUS,NOMINAL,1986-Q1,13.61108377
AUS,NOMINAL,1986-Q2,14.01690269
AUS,NOMINAL,1986-Q3,14.10890187
AUS,NOMINAL,1986-Q4,14.14412319
AUS,NOMINAL,1987-Q1,14.30371819
AUS,NOMINAL,1987-Q2,14.56390622
AUS,NOMINAL,1987-Q3,14.83040807
AUS,NOMINAL,1987-Q4,15.41769636
AUS,NOMINAL,1988-Q1,16.08647606
AUS,NOMINAL,1988-Q2,17.05727829
AUS,NOMINAL,1988-Q3,18.78354351
AUS,NOMINAL,1988-Q4,20.50805733
AUS,NOMINAL,1989-Q1,22.18558492
AUS,NOMINAL,1989-Q2,22.70556484
AUS,NOMINAL,1989-Q3,22.7781934
AUS,NOMINAL,1989-Q4,22.68106767
AUS,NOMINAL,1990-Q1,22.81724145
AUS,NOMINAL,1990-Q2,23.07931283
AUS,NOMINAL,1990-Q3,22.92237591
AUS,NOMINAL,1990-Q4,22.91564609
AUS,NOMINAL,1991-Q1,22.95088036
AUS,NOMINAL,1991-Q2,23.2361566
AUS,NOMINAL,1991-Q3,24.00265939
AUS,NOMINAL,1991-Q4,23.9256445
AUS,NOMINAL,1992-Q1,23.79644906
AUS,NOMINAL,1992-Q2,23.84795075
AUS,NOMINAL,1992-Q3,23.8643631
AUS,NOMINAL,1992-Q4,24.04611001
AUS,NOMINAL,1993-Q1,24.36255209
AUS,NOMINAL,1993-Q2,24.45819951
AUS,NOMINAL,1993-Q3,24.50220483
AUS,NOMINAL,1993-Q4,24.72341428
AUS,NOMINAL,1994-Q1,25.02728178
AUS,NOMINAL,1994-Q2,25.29496721
AUS,NOMINAL,1994-Q3,25.65725018
AUS,NOMINAL,1994-Q4,25.57869702
AUS,NOMINAL,1995-Q1,25.86678721
AUS,NOMINAL,1995-Q2,25.60861082
AUS,NOMINAL,1995-Q3,25.66073658
AUS,NOMINAL,1995-Q4,25.64803669
AUS,NOMINAL,1996-Q1,25.64226887
AUS,NOMINAL,1996-Q2,25.8671408
AUS,NOMINAL,1996-Q3,26.01182318
AUS,NOMINAL,1996-Q4,26.09343772
AUS,NOMINAL,1997-Q1,26.30963687
AUS,NOMINAL,1997-Q2,26.61354119
AUS,NOMINAL,1997-Q3,27.15169399
AUS,NOMINAL,1997-Q4,27.69229487
AUS,NOMINAL,1998-Q1,28.36064743
AUS,NOMINAL,1998-Q2,28.86730353
AUS,NOMINAL,1998-Q3,29.01174899
AUS,NOMINAL,1998-Q4,29.44489331
AUS,NOMINAL,1999-Q1,29.99274607
AUS,NOMINAL,1999-Q2,30.58733328
AUS,NOMINAL,1999-Q3,31.30875033
AUS,NOMINAL,1999-Q4,32.18776094
AUS,NOMINAL,2000-Q1,32.90620137
