country,date,interest
USA,2014-10,2.3
USA,2014-11,2.33
USA,2014-12,2.21
USA,2015-01,1.88
USA,2015-02,1.98
USA,2015-03,2.04
USA,2015-04,1.94
USA,2015-05,2.2
USA,2015-06,2.36
USA,2015-07,2.32
USA,2015-08,2.17
USA,2015-09,2.17
USA,2015-10,2.07
USA,2015-11,2.26
USA,2015-12,2.24
USA,2016-01,2.09
USA,2016-02,1.78
USA,2016-03,1.89
USA,2016-04,1.81
USA,2016-05,1.81
USA,2016-06,1.64
USA,2016-07,1.5
USA,2016-08,1.56
USA,2016-09,1.63
USA,2016-10,1.76
USA,2016-11,2.14
USA,2016-12,2.49
USA,2017-01,2.43
USA,2017-02,2.42
USA,2017-03,2.48
USA,2017-04,2.3
USA,2017-05,2.3
USA,2017-06,2.19
USA,2017-07,2.32
USA,2017-08,2.21
USA,2017-09,2.2
USA,2017-10,2.36
USA,2017-11,2.35
USA,2017-12,2.4
USA,2018-01,2.58
USA,2018-02,2.86
USA,2018-03,2.84
USA,2018-04,2.87
USA,2018-05,2.98
USA,2018-06,2.91
USA,2018-07,2.89
USA,2018-08,2.89
USA,2018-09,3
USA,2018-10,3.15
USA,2018-11,3.12
USA,2018-12,2.83
USA,2019-01,2.71
USA,2019-02,2.68
USA,2019-03,2.57
USA,2019-04,2.53
USA,2019-05,2.4
USA,2019-06,2.07
USA,2019-07,2.06
USA,2019-08,1.63
USA,2019-09,1.7
USA,2019-10,1.71
USA,2019-11,1.81
USA,2019-12,1.86
USA,2020-01,1.76
USA,2020-02,1.5
USA,2020-03,0.87
USA,2020-04,0.66
USA,2020-05,0.67
USA,2020-06,0.73
USA,2020-07,0.62
USA,2020-08,0.65
USA,2020-09,0.68
USA,2020-10,0.79
USA,2020-11,0.87
USA,2020-12,0.93
USA,2021-01,1.08
USA,2021-02,1.26
USA,2021-03,1.61
USA,2021-04,1.64
USA,2021-05,1.62
USA,2021-06,1.52
USA,2021-07,1.32
USA,2021-08,1.28
USA,2021-09,1.37
USA,2021-10,1.58
USA,2021-11,1.56
USA,2021-12,1.47
USA,2022-01,1.76
USA,2022-02,1.93
USA,2022-03,2.13
USA,2022-04,2.75
USA,2022-05,2.9
USA,2022-06,3.14
USA,2022-07,2.9
USA,2022-08,2.9
USA,2022-09,3.52
USA,2022-10,3.98
USA,2022-11,3.89
USA,2022-12,3.62
