"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","5.473","5.473","5.473","5.473","","0.08%"
"05/27/2024","5.468","5.468","5.468","5.468","","-0.29%"
"05/24/2024","5.484","5.484","5.484","5.484","","1.05%"
"05/23/2024","5.427","5.427","5.427","5.427","","0.34%"
"05/22/2024","5.409","5.409","5.409","5.409","","0.34%"
"05/21/2024","5.391","5.391","5.391","5.391","","0.25%"
"05/20/2024","5.377","5.377","5.377","5.377","","-0.24%"
"05/17/2024","5.390","5.390","5.390","5.390","","0.83%"
"05/16/2024","5.346","5.346","5.346","5.346","","1.22%"
"05/15/2024","5.281","5.281","5.281","5.281","","-0.04%"
"05/14/2024","5.284","5.284","5.284","5.284","","-0.18%"
"05/13/2024","5.293","5.293","5.293","5.293","","0.72%"
"05/10/2024","5.256","5.256","5.256","5.256","","-0.02%"
"05/09/2024","5.257","5.257","5.257","5.257","","-0.16%"
"05/08/2024","5.265","5.265","5.265","5.265","","0.52%"
"05/07/2024","5.238","5.238","5.238","5.238","","0.90%"
"05/06/2024","5.191","5.191","5.191","5.191","","1.60%"
"05/03/2024","5.109","5.109","5.109","5.109","","-1.41%"
"05/02/2024","5.182","5.182","5.182","5.182","","0.12%"
"04/30/2024","5.176","5.176","5.176","5.176","","0.35%"
"04/29/2024","5.157","5.157","5.157","5.157","","2.11%"
"04/26/2024","5.051","5.051","5.051","5.051","","-1.67%"
"04/25/2024","5.136","5.136","5.136","5.136","","2.32%"
"04/24/2024","5.020","5.020","5.020","5.020","","-0.80%"
"04/22/2024","5.061","5.061","5.061","5.061","","-0.58%"
"04/19/2024","5.090","5.090","5.090","5.090","","-1.31%"
"04/18/2024","5.158","5.158","5.158","5.158","","0.42%"
"04/17/2024","5.136","5.136","5.136","5.136","","-1.52%"
"04/16/2024","5.216","5.216","5.216","5.216","","0.26%"
"04/15/2024","5.202","5.202","5.202","5.202","","0.22%"
"04/09/2024","5.191","5.191","5.191","5.191","","0.76%"
"04/08/2024","5.152","5.152","5.152","5.152","","-1.55%"
"04/05/2024","5.233","5.233","5.233","5.233","","0.55%"
"04/04/2024","5.204","5.204","5.204","5.204","","-0.22%"
"04/03/2024","5.216","5.216","5.216","5.216","","-1.20%"
"04/02/2024","5.279","5.279","5.279","5.279","","0.32%"
"04/01/2024","5.262","5.262","5.262","5.262","","0.17%"
