"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","0.3202","0.3018","0.3018","0.3018","","4.62%"
"11/01/2023","0.3060","0.2771","0.2771","0.2771","","7.55%"
"10/01/2023","0.2845","0.3129","0.3129","0.3129","","-6.36%"
"09/01/2023","0.3038","0.2697","0.2697","0.2697","","8.69%"
"08/01/2023","0.2795","0.2353","0.2353","0.2353","","19.32%"
"07/01/2023","0.2343","0.1931","0.1931","0.1931","","20.20%"
"06/01/2023","0.1949","0.1588","0.1588","0.1588","","18.98%"
"05/01/2023","0.1638","0.1556","0.1556","0.1556","","0.76%"
"04/01/2023","0.1626","0.1636","0.1636","0.1636","","-1.76%"
"03/01/2023","0.1655","0.1517","0.1517","0.1517","","9.14%"
"02/01/2023","0.1516","0.1464","0.1464","0.1464","","3.70%"
"01/01/2023","0.1462","0.1734","0.1734","0.1734","","-16.46%"
"12/01/2022","0.1750","0.1565","0.1565","0.1565","","12.82%"
"11/01/2022","0.1551","0.1298","0.1298","0.1298","","21.03%"
"10/01/2022","0.1282","0.1035","0.1035","0.1035","","24.31%"
"09/01/2022","0.1031","0.1158","0.1158","0.1158","","-10.89%"
"08/01/2022","0.1157","0.0771","0.0771","0.0771","","52.11%"
"07/01/2022","0.0761","0.0695","0.0695","0.0695","","9.67%"
"06/01/2022","0.0694","0.0758","0.0758","0.0758","","-5.79%"
"05/01/2022","0.0736","0.0753","0.0753","0.0753","","-2.75%"
"04/01/2022","0.0757","0.0624","0.0624","0.0624","","20.64%"
"03/01/2022","0.0628","0.0580","0.0580","0.0580","","8.37%"
"02/01/2022","0.0579","0.0628","0.0628","0.0628","","-5.64%"
"01/01/2022","0.0614","0.0569","0.0569","0.0569","","5.68%"
"12/01/2021","0.0581","0.0549","0.0549","0.0549","","5.30%"
"11/01/2021","0.0551","0.0490","0.0490","0.0490","","14.90%"
"10/01/2021","0.0480","0.0450","0.0450","0.0450","","9.09%"
"09/01/2021","0.0440","0.0490","0.0490","0.0490","","-8.33%"
"08/01/2021","0.0480","0.0442","0.0442","0.0442","","10.23%"
"07/01/2021","0.0435","0.0437","0.0437","0.0437","","-0.22%"
"06/01/2021","0.0436","0.0436","0.0436","0.0436","","2.07%"
"05/01/2021","0.0428","0.0428","0.0428","0.0428","","6.11%"
"04/01/2021","0.0403","0.0403","0.0403","0.0403","","3.02%"
"03/01/2021","0.0391","0.0391","0.0391","0.0391","","-20.53%"
"02/01/2021","0.0492","0.0492","0.0492","0.0492","","-4.72%"
"01/01/2021","0.0517","0.0517","0.0517","0.0517","","-6.99%"
