"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","28.1679","28.0137","28.3807","27.9900","","0.66%"
"10/15/2023","27.9840","27.8099","28.2519","27.6051","","0.67%"
"10/08/2023","27.7981","27.6298","28.1125","27.5585","","0.66%"
"10/01/2023","27.6155","27.4042","27.7854","27.2575","","0.76%"
"09/24/2023","27.4071","27.1700","27.6650","26.8896","","0.87%"
"09/17/2023","27.1700","26.9990","27.4459","26.7101","","0.65%"
"09/10/2023","26.9940","26.8502","27.2635","26.6136","","0.56%"
"09/03/2023","26.8433","26.7271","27.0840","26.4866","","0.43%"
"08/27/2023","26.7276","26.3550","26.9384","25.7953","","0.66%"
"08/20/2023","26.5515","27.0412","27.3044","25.0250","","-2.04%"
"08/13/2023","27.1057","26.9538","27.2968","26.6830","","0.88%"
"08/06/2023","26.8682","26.9048","27.2739","26.5429","","-0.16%"
"07/30/2023","26.9112","26.9042","27.4931","26.8836","","0.02%"
"07/23/2023","26.9064","26.9250","27.1698","26.8277","","-0.24%"
"07/16/2023","26.9705","26.1725","27.2219","25.9309","","2.97%"
"07/09/2023","26.1923","25.9775","26.2827","25.9273","","0.52%"
"07/02/2023","26.0564","25.7825","26.3269","25.6912","","0.02%"
"06/25/2023","26.0511","25.4250","26.2548","25.2574","","3.22%"
"06/18/2023","25.2375","23.4660","25.8083","23.3837","","6.87%"
"06/11/2023","23.6157","23.6500","23.9212","23.2325","","0.93%"
"06/04/2023","23.3985","21.0425","23.6420","21.0286","","11.62%"
"05/28/2023","20.9632","20.0123","21.1652","19.8956","","4.96%"
"05/21/2023","19.9727","19.7803","20.4700","19.7803","","0.81%"
"05/14/2023","19.8124","19.6140","19.8962","19.3816","","1.20%"
"05/07/2023","19.5783","19.5000","19.9132","19.3230","","0.33%"
"04/30/2023","19.5139","19.4425","19.5329","19.4111","","0.33%"
"04/23/2023","19.4492","19.4037","19.7168","19.3787","","0.20%"
"04/16/2023","19.4096","19.3624","19.5713","19.2979","","0.25%"
"04/09/2023","19.3613","19.2484","19.4198","19.2305","","0.56%"
"04/02/2023","19.2528","19.1863","19.4500","19.1750","","0.38%"
"03/26/2023","19.1793","19.0701","19.4223","19.0170","","0.69%"
"03/19/2023","19.0477","19.0105","19.2817","18.9408","","0.14%"
"03/12/2023","19.0208","18.9643","19.3130","18.7165","","0.31%"
"03/05/2023","18.9617","18.8016","19.0478","18.6888","","0.71%"
"02/26/2023","18.8288","18.8675","19.0081","18.7590","","-0.23%"
"02/19/2023","18.8731","18.8604","19.1088","18.7735","","0.23%"
"02/12/2023","18.8297","18.8155","18.9060","18.6320","","0.03%"
"02/05/2023","18.8241","18.8306","18.8693","18.6404","","0.00%"
"01/29/2023","18.8236","18.8139","18.8654","18.6110","","0.07%"
"01/22/2023","18.8109","18.7619","18.8426","18.5431","","0.26%"
"01/15/2023","18.7614","18.8035","18.8474","18.6045","","-0.22%"
"01/08/2023","18.8035","18.7528","18.8484","18.5539","","0.26%"
"01/01/2023","18.7544","18.6955","18.7984","18.5250","","0.34%"
"12/25/2022","18.6905","18.6594","18.7970","18.4502","","0.13%"
"12/18/2022","18.6657","18.4700","18.7217","18.4690","","0.14%"
"12/11/2022","18.6393","18.6479","18.7135","18.4180","","-0.08%"
"12/04/2022","18.6538","18.6329","18.6951","18.4385","","0.11%"
"11/27/2022","18.6330","18.5907","18.6915","18.4197","","0.22%"
"11/20/2022","18.5913","18.6234","18.6606","18.4021","","-0.17%"
"11/13/2022","18.6236","18.5928","18.6729","18.3867","","0.24%"
"11/06/2022","18.5784","18.5735","18.6349","18.2909","","0.05%"
"10/30/2022","18.5684","18.5917","18.6711","18.4128","","-0.08%"
"10/23/2022","18.5835","18.5933","18.6502","18.3293","","-0.07%"
"10/16/2022","18.5965","18.5791","18.6308","18.3951","","0.12%"
"10/09/2022","18.5740","18.5755","18.6796","18.3996","","-0.04%"
"10/02/2022","18.5821","18.5046","18.6653","18.2501","","0.43%"
"09/25/2022","18.5024","18.4014","18.5567","18.2614","","0.47%"
"09/18/2022","18.4156","18.2540","18.4215","18.1015","","0.87%"
"09/11/2022","18.2564","18.2204","18.2904","18.0551","","0.11%"
"09/04/2022","18.2364","18.1951","18.2550","18.0410","","0.20%"
"08/28/2022","18.2007","18.1827","18.2865","18.0361","","0.21%"
"08/21/2022","18.1629","18.0953","18.2206","17.9446","","0.42%"
"08/14/2022","18.0870","17.9294","18.1405","17.7201","","0.84%"
"08/07/2022","17.9363","17.9105","17.9816","17.5609","","0.13%"
"07/31/2022","17.9126","17.9059","18.0003","17.6585","","-0.01%"
"07/24/2022","17.9148","17.7378","17.9814","17.3474","","0.98%"
"07/17/2022","17.7415","17.3713","17.7892","17.2342","","1.96%"
"07/10/2022","17.4000","17.2738","17.5150","17.1700","","0.73%"
"07/03/2022","17.2733","16.7634","17.3286","16.5720","","3.04%"
