date,value,type
"Mar 13, 2023 (Jan)",-9.85B,ca
"Feb 13, 2023 (Dec)",-5.91B,ca
"Jan 11, 2023 (Nov)",-3.67B,ca
"Dec 12, 2022 (Oct)",-0.36B,ca
"Nov 11, 2022 (Sep)",-2.97B,ca
"Oct 11, 2022 (Aug)",-3.11B,ca
"Sep 12, 2022 (Jul)",-4.01B,ca
"Aug 11, 2022 (Jun)",-3.46B,ca
"Jul 08, 2022 (May)",-6.47B,ca
"Jun 13, 2022 (Apr)",-2.74B,ca
"May 16, 2022 (Mar)",-5.55B,ca
"Apr 11, 2022 (Feb)",-5.15B,ca
"Mar 11, 2022 (Jan)",-7.11B,ca
"Feb 11, 2022 (Dec)",-3.84B,ca
"Jan 11, 2022 (Nov)",-2.68B,ca
"Dec 13, 2021 (Oct)",3.16B,ca
"Nov 11, 2021 (Sep)",1.65B,ca
"Oct 11, 2021 (Aug)",0.53B,ca
"Sep 13, 2021 (Jul)",-0.68B,ca
"Aug 13, 2021 (Jun)",-1.13B,ca
"Jul 09, 2021 (May)",-3.08B,ca
"Jun 14, 2021 (Apr)",-1.71B,ca
"May 11, 2021 (Mar)",-3.33B,ca
"Apr 12, 2021 (Feb)",-2.61B,ca
"Mar 11, 2021 (Jan)",-1.87B,ca
"Feb 12, 2021 (Dec)",-3.21B,ca
"Jan 11, 2021",-4.06B,ca
"Dec 11, 2020 (Oct)",-0.27B,ca
"Nov 11, 2020 (Sep)",-2.36B,ca
"Oct 12, 2020 (Aug)",-4.63B,ca
"Sep 11, 2020 (Jul)",-1.82B,ca
"Aug 14, 2020 (Jun)",-2.93B,ca
"Jul 13, 2020 (May)",-3.76B,ca
"Jun 12, 2020 (Apr)",-5.06B,ca
"May 13, 2020 (Mar)",-4.92B,ca
"Apr 13, 2020 (Feb)",-1.23B,ca
"Mar 11, 2020 (Jan)",-1.80B,ca
"Feb 14, 2020 (Dec)",-2.80B,ca
"Jan 13, 2020 (Nov)",-0.52B,ca
"Dec 11, 2019 (Oct)",1.55B,ca
"Nov 12, 2019 (Sep)",2.48B,ca
"Oct 11, 2019 (Aug)",2.60B,ca
"Sep 13, 2019 (Jul)",1.16B,ca
"Aug 09, 2019 (Jun)",-0.55B,ca
"Jul 11, 2019 (May)",0.15B,ca
"Jun 14, 2019 (Apr)",-1.33B,ca
"May 13, 2019 (Mar)",-0.59B,ca
"Apr 11, 2019 (Feb)",-0.72B,ca
"Mar 11, 2019 (Jan)",-0.81B,ca
"Feb 14, 2019 (Dec)",-1.44B,ca
"Jan 11, 2019 (Nov)",0.99B,ca
"Dec 11, 2018 (Oct)",2.77B,ca
"Nov 12, 2018 (Sep)",1.83B,ca
"Oct 11, 2018 (Aug)",2.59B,ca
"Sep 14, 2018 (Jul)",-1.75B,ca
"Aug 10, 2018 (Jun)",-2.97B,ca
"Jul 11, 2018 (May)",-5.89B,ca
"Jun 11, 2018 (Apr)",-5.43B,ca
"May 14, 2018 (Mar)",-4.81B,ca
"Apr 11, 2018 (Feb)",-4.15B,ca
"Mar 12, 2018 (Jan)",-7.10B,ca
"Feb 14, 2018 (Dec)",-7.70B,ca
"Jan 12, 2018 (Nov)",-4.20B,ca
"Dec 11, 2017 (Oct)",-3.83B,ca
"Nov 13, 2017 (Sep)",-4.53B,ca
"Oct 11, 2017 (Aug)",-1.24B,ca
"Sep 15, 2017 (Jul)",-5.12B,ca
"Aug 11, 2017 (Jun)",-3.76B,ca
"Jul 13, 2017 (May)",-5.24B,ca
"Jun 12, 2017 (Apr)",-3.62B,ca
"May 11, 2017 (Mar)",-3.06B,ca
"Apr 11, 2017 (Feb)",-2.53B,ca
"Mar 13, 2017 (Jan)",-2.76B,ca
"Feb 14, 2017 (Dec)",-4.27B,ca
"Jan 11, 2017 (Nov)",-2.27B,ca
"Dec 12, 2016 (Oct)",-1.67B,ca
